Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,No,0,Graduate,No,10095,6052,343.0,360,1.0,Urban,Approved
Male,,2,Graduate,No,7069,2758,108.0,360,0.0,Semiurban,Approved
Male,Yes,0,Graduate,No,7012,6834,99.0,360,0.0,Semiurban,Approved
Male,Yes,0,Graduate,No,10660,3370,374.0,300,0.0,Semiurban,Rejected
Female,No,0,Not Graduate,No,11613,5904,234.0,300,1.0,Urban,Approved
Male,Yes,1,Graduate,No,12404,802,245.0,300,0.0,Semiurban,Approved
Female,No,2,Graduate,No,6002,777,109.0,180,1.0,Semiurban,Approved
Female,No,0,Not Graduate,No,7225,6262,129.0,180,1.0,Semiurban,Approved
Female,Yes,3+,Graduate,No,5964,6671,336.0,300,0.0,Urban,Rejected
Male,Yes,3+,Graduate,No,8621,7539,156.0,120,1.0,Semiurban,Approved
Female,No,2,Graduate,No,3217,2596,254.0,360,1.0,Semiurban,Rejected
Male,Yes,0,Not Graduate,No,7306,178,160.0,180,1.0,Urban,Approved
Male,Yes,0,Graduate,No,4047,7839,142.0,180,1.0,Urban,Approved
Male,No,3+,Graduate,No,8687,4810,108.0,360,1.0,Urban,Approved
Male,No,0,Graduate,Yes,12982,1976,375.0,120,0.0,Urban,Rejected
Female,No,1,Graduate,No,14802,6110,379.0,360,,Urban,Approved
,Yes,2,Graduate,No,7524,7231,90.0,360,1.0,Rural,Approved
Male,Yes,0,Graduate,No,2260,2278,173.0,120,0.0,Semiurban,Rejected
Female,Yes,2,Graduate,No,4576,6157,247.0,360,1.0,Rural,Approved
Male,Yes,3+,Graduate,No,2915,6300,184.0,360,1.0,Rural,Approved
Male,Yes,2,Not Graduate,No,11751,4013,302.0,360,0.0,Urban,Rejected
Male,Yes,1,Graduate,No,14793,5058,141.0,360,1.0,Semiurban,Approved
Female,Yes,3+,Not Graduate,No,8978,2156,70.0,360,1.0,Rural,Approved
Male,Yes,1,Graduate,No,3887,7433,167.0,300,1.0,Semiurban,Approved
Male,Yes,2,Graduate,No,1785,7864,259.0,240,1.0,Semiurban,Approved
Male,No,2,Not Graduate,No,14677,7848,113.0,360,1.0,Semiurban,Approved
Female,No,2,Not Graduate,No,5770,5897,335.0,360,0.0,Urban,Rejected
Female,Yes,0,Graduate,No,3012,338,54.0,300,1.0,Semiurban,Approved
Female,Yes,0,Not Graduate,No,3889,2931,73.0,360,1.0,Rural,Approved
Female,Yes,0,Graduate,No,4945,3559,228.0,300,,Rural,Approved
Female,Yes,1,Graduate,No,10354,7678,229.0,360,0.0,Urban,Approved
Male,Yes,1,Not Graduate,No,13539,4375,153.0,360,1.0,Semiurban,Approved
Male,Yes,1,Graduate,No,5212,4289,140.0,180,0.0,Urban,Approved
Female,Yes,0,Not Graduate,No,10777,1173,74.0,180,1.0,Rural,Approved
Female,Yes,2,Graduate,No,2376,6349,282.0,300,1.0,Urban,Approved
Male,Yes,3+,Not Graduate,No,1636,2690,182.0,300,1.0,Rural,Rejected
Male,Yes,0,Graduate,No,2241,734,91.0,300,0.0,Rural,Rejected
Female,,2,Graduate,No,13962,7901,189.0,120,0.0,Urban,Rejected
Male,No,2,Graduate,No,9353,1520,377.0,300,1.0,Urban,Approved
Female,No,1,Graduate,No,12369,129,141.0,300,0.0,Rural,Approved
Male,No,0,Graduate,No,1793,622,363.0,300,0.0,Urban,Rejected
Male,Yes,2,Graduate,No,1800,3620,140.0,360,1.0,Semiurban,Approved
Female,No,3+,Graduate,No,12958,823,115.0,360,1.0,Rural,Approved
,Yes,2,Graduate,No,2885,6741,141.0,360,0.0,Semiurban,Approved
Male,Yes,3+,Graduate,No,3597,4099,163.0,360,1.0,Semiurban,Approved
Male,No,3+,Not Graduate,No,8505,2591,92.0,360,1.0,Semiurban,Approved
Female,Yes,0,Not Graduate,Yes,9688,25,255.0,300,1.0,Urban,Approved
Male,Yes,1,Not Graduate,No,4589,3838,166.0,360,1.0,Rural,Approved
,No,1,Graduate,No,7503,1210,301.0,180,1.0,Urban,Approved
Female,No,3+,Not Graduate,No,10610,7824,221.0,240,1.0,Urban,Approved
Female,No,0,Graduate,Yes,7478,2328,204.0,300,1.0,Urban,Approved
Male,Yes,1,Graduate,No,6665,3799,214.0,360,1.0,Rural,Approved
Male,Yes,3+,Graduate,Yes,2469,148,104.0,360,0.0,Urban,Rejected
Male,No,0,Graduate,No,7600,1047,299.0,120,1.0,Rural,Approved
Male,Yes,2,Graduate,No,12337,1659,86.0,300,0.0,Semiurban,Approved
Male,No,0,Graduate,No,9961,413,302.0,180,1.0,Rural,Approved
Female,,3+,Not Graduate,No,13556,5807,399.0,360,1.0,Rural,Rejected
Male,Yes,3+,Graduate,No,3203,7563,317.0,360,1.0,Rural,Approved
Male,Yes,0,Graduate,No,1648,7882,209.0,300,1.0,Rural,Approved
Female,No,2,Not Graduate,No,8900,2126,160.0,300,1.0,Urban,Approved
Male,Yes,0,Graduate,No,3911,6309,355.0,240,0.0,Rural,Rejected
,Yes,1,Graduate,Yes,9518,4032,140.0,300,1.0,Semiurban,Approved
Female,Yes,2,Not Graduate,Yes,13702,366,218.0,360,1.0,Semiurban,Approved
Female,Yes,2,Not Graduate,No,6051,725,319.0,360,0.0,Rural,Rejected
Female,Yes,0,Graduate,No,8918,4382,372.0,300,1.0,Rural,Approved
Male,No,0,Graduate,No,10702,3389,372.0,240,1.0,Semiurban,Approved
Male,,2,Graduate,No,3525,67,80.0,120,1.0,Semiurban,Approved
Female,No,1,Graduate,Yes,13614,7440,,180,1.0,Semiurban,Approved
Male,No,1,Graduate,No,4237,5842,89.0,180,1.0,Semiurban,Approved
Male,Yes,0,Graduate,No,12411,4019,254.0,240,0.0,Semiurban,Rejected
Male,Yes,0,Graduate,No,10409,7895,375.0,360,0.0,Semiurban,Rejected
Female,No,3+,Not Graduate,No,3403,7769,279.0,300,0.0,Urban,Rejected
Female,Yes,0,Graduate,No,11285,7791,381.0,180,1.0,Urban,Approved
Male,Yes,0,Graduate,No,4152,2070,170.0,180,1.0,Rural,Approved
Female,No,3+,Graduate,No,9592,7047,160.0,240,0.0,Semiurban,Approved
Male,No,0,Not Graduate,No,14455,4036,164.0,360,1.0,Rural,Approved
Male,No,2,Graduate,No,14367,5808,174.0,240,1.0,Semiurban,Approved
Male,Yes,0,Graduate,No,13261,6876,288.0,360,1.0,Urban,Approved
Male,No,3+,Graduate,Yes,8169,1306,208.0,360,1.0,Urban,Approved
Male,No,2,Graduate,No,9053,3586,308.0,180,1.0,Urban,Approved
Male,Yes,3+,Graduate,No,5553,1031,195.0,360,1.0,Rural,Approved
Female,No,0,Not Graduate,No,13932,2235,157.0,360,0.0,Urban,Rejected
Male,Yes,1,Graduate,No,7942,3308,116.0,300,1.0,Semiurban,Approved
,Yes,2,Not Graduate,No,11916,6843,242.0,120,1.0,Rural,Approved
Female,Yes,0,Not Graduate,Yes,6355,6901,364.0,360,1.0,Rural,Approved
Male,Yes,0,Graduate,No,11495,3119,350.0,360,1.0,Urban,Approved
Female,Yes,0,Graduate,No,4529,2633,138.0,300,1.0,Urban,Approved
Male,No,3+,Graduate,No,11406,4245,217.0,300,1.0,Urban,Approved
Male,No,2,Not Graduate,No,2120,7294,296.0,180,1.0,Urban,Approved
Female,Yes,1,Graduate,No,2915,7812,264.0,360,1.0,Urban,Approved
Female,No,2,Graduate,No,6254,1814,73.0,300,1.0,Semiurban,Approved
Male,No,1,Graduate,No,8007,1491,256.0,120,1.0,Rural,Approved
Male,Yes,1,Not Graduate,No,11104,5654,63.0,360,0.0,Semiurban,Approved
Male,Yes,1,Graduate,No,6347,2411,90.0,360,1.0,Semiurban,Approved
Female,Yes,1,Graduate,No,1748,1598,278.0,360,0.0,Urban,Rejected
Male,Yes,0,Graduate,No,5892,248,85.0,240,0.0,Rural,Rejected
Male,No,3+,Not Graduate,Yes,7428,3225,168.0,120,1.0,Semiurban,Approved
Male,Yes,2,Graduate,No,8840,3134,255.0,360,1.0,Rural,Approved
Male,Yes,0,Graduate,Yes,10194,4504,279.0,360,0.0,Rural,Rejected
Female,Yes,1,Not Graduate,No,4843,1601,206.0,300,0.0,Urban,Rejected
Female,Yes,0,Not Graduate,No,9740,5714,82.0,360,0.0,Urban,Approved
Male,No,3+,Graduate,Yes,10026,5440,329.0,300,1.0,Urban,Approved
Male,Yes,3+,Graduate,Yes,11984,3698,382.0,300,1.0,Semiurban,Approved
Male,Yes,3+,Not Graduate,Yes,8547,1450,361.0,180,0.0,Rural,Rejected
Female,Yes,0,Not Graduate,No,12442,4055,311.0,120,0.0,Semiurban,Rejected
Female,Yes,0,Graduate,No,4491,5398,190.0,180,1.0,Rural,Approved
Male,Yes,0,Graduate,Yes,11108,2981,356.0,360,1.0,Semiurban,Approved
Male,Yes,0,Not Graduate,No,2118,2107,220.0,180,1.0,Urban,Rejected
Male,Yes,0,Not Graduate,No,2887,4052,97.0,180,1.0,Urban,Approved
Male,Yes,0,Not Graduate,No,13173,2841,347.0,300,1.0,Semiurban,Approved
Female,No,3+,Graduate,Yes,7912,3204,162.0,180,1.0,Semiurban,Approved
Male,No,0,Graduate,No,9881,2790,378.0,180,1.0,Semiurban,Approved
Male,No,0,Not Graduate,No,9645,2427,178.0,300,0.0,Urban,Rejected
Female,No,2,Not Graduate,No,10880,5734,354.0,240,1.0,Semiurban,Approved
Male,No,1,Not Graduate,No,4815,3681,238.0,360,1.0,Urban,Approved
Male,Yes,2,Graduate,Yes,3906,3732,213.0,360,1.0,Rural,Approved
Male,Yes,1,Graduate,No,2074,5224,153.0,180,1.0,Urban,Approved
Male,Yes,3+,Not Graduate,No,13174,2890,342.0,360,0.0,Urban,Rejected
Male,Yes,1,Graduate,No,4518,808,71.0,360,1.0,Semiurban,Approved
Male,No,1,Not Graduate,No,9264,6820,214.0,360,1.0,Semiurban,Approved
Male,Yes,2,Graduate,No,7641,445,179.0,360,0.0,Semiurban,Approved
Male,No,1,Not Graduate,No,3691,4575,240.0,360,1.0,Semiurban,Approved
Male,No,0,Not Graduate,No,7088,2126,139.0,360,1.0,Rural,Approved
Female,Yes,1,Graduate,No,2623,1710,282.0,360,1.0,Semiurban,Approved
Male,No,0,Graduate,No,3885,335,185.0,120,1.0,Semiurban,Approved
Male,Yes,2,Graduate,No,3385,7200,115.0,360,1.0,Semiurban,Approved
Male,No,0,Graduate,No,12629,3433,118.0,300,1.0,Urban,Approved
Female,Yes,0,Graduate,Yes,9160,2741,293.0,360,1.0,Semiurban,Approved
Female,Yes,0,Graduate,Yes,13996,5929,141.0,240,1.0,Urban,Approved
Male,Yes,2,Not Graduate,No,7385,311,157.0,120,0.0,Semiurban,Rejected
Male,Yes,0,Graduate,No,4218,4516,,300,1.0,Urban,Approved
Male,Yes,2,Graduate,No,9715,3956,165.0,300,1.0,Rural,Approved
Male,No,3+,Graduate,No,14049,4427,185.0,300,1.0,Semiurban,Approved
Male,No,0,Graduate,No,8690,991,135.0,240,0.0,Rural,Rejected
Male,Yes,2,Graduate,Yes,1741,7620,170.0,180,0.0,Semiurban,Rejected
Male,Yes,0,Graduate,No,5598,1907,292.0,300,1.0,Urban,Approved
Male,Yes,0,Graduate,No,13986,5427,236.0,240,0.0,Rural,Approved
Male,Yes,2,Graduate,No,8497,5976,399.0,360,0.0,Semiurban,Rejected
Male,No,3+,Not Graduate,No,14351,2751,320.0,180,1.0,Rural,Approved
Female,Yes,0,Graduate,No,8375,1046,55.0,240,1.0,Semiurban,Approved
Male,Yes,1,Graduate,No,1662,2373,182.0,240,1.0,Semiurban,Approved
Female,Yes,0,Not Graduate,No,13286,6455,151.0,300,1.0,Rural,Approved
Male,Yes,1,Not Graduate,No,11800,7251,255.0,300,1.0,Semiurban,Approved
Female,Yes,1,Graduate,No,11155,7495,142.0,360,1.0,Urban,Approved
Female,No,1,Graduate,No,14597,1810,,360,1.0,Semiurban,Approved
,No,1,Graduate,No,4148,4852,154.0,240,1.0,Semiurban,Approved
Female,No,0,Graduate,No,13729,1208,232.0,360,1.0,Rural,Approved
Female,No,2,Graduate,No,4640,5682,93.0,120,1.0,Semiurban,Approved
Male,Yes,2,Graduate,No,14604,3326,368.0,240,1.0,Semiurban,Approved
Female,No,2,Graduate,No,4084,5708,369.0,300,1.0,Rural,Approved
